City_ID,City,Lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,296.22,78,79,7.74,PN,1687125036
1,tolanaro,-25.0319,46.9987,295.19,73,40,3.09,MG,1687125036
2,crucecita,-28.95,-58.9833,286.48,64,0,3.18,AR,1687125036
3,oppdal,62.5943,9.6912,289.88,62,100,4.26,NO,1687125037
4,muromtsevo,56.3724,75.2418,284.51,40,98,4.81,RU,1687125037
5,grytviken,-54.2811,-36.5092,272.9,75,100,3.57,GS,1687125057
6,college,64.8569,-147.8028,292.92,46,75,7.72,US,1687125037
7,kodiak,57.79,-152.4072,295.88,38,0,6.69,US,1687125038
8,fale old settlement,-9.3852,-171.2468,301.41,72,7,5.57,TK,1687125038
9,yarkovo,57.4028,67.0786,284.07,44,100,3.66,RU,1687125124
10,invercargill,-46.4,168.35,278.78,82,30,1.62,NZ,1687125043
11,puerto ayora,-0.7393,-90.3518,304.13,91,73,4.02,EC,1687125124
12,margaret river,-33.95,115.0667,281.47,81,45,2.82,AU,1687125124
13,tiksi,71.6872,128.8694,281.92,61,92,4.56,RU,1687125125
14,west island,-12.1568,96.8225,298.14,83,75,5.66,CC,1687125125
15,rio verde de mato grosso,-18.9181,-54.8442,290.29,67,0,1.92,BR,1687125125
16,bredasdorp,-34.5322,20.0403,283.48,71,78,4.32,ZA,1687125041
17,heroica guaymas,27.9333,-110.9,311.97,49,53,5.04,MX,1687125041
18,okha,53.5739,142.9478,281.67,82,97,3.86,RU,1687125042
19,port elizabeth,-33.918,25.5701,283.88,93,0,1.54,ZA,1687125042
20,egilsstadir,65.2653,-14.3948,288.1,63,40,4.63,IS,1687125042
21,waitangi,-43.9535,-176.5597,285.27,80,54,3.13,NZ,1687125042
22,rikaze,29.25,88.8833,282.39,83,99,2.56,CN,1687125042
23,whitehorse,60.7161,-135.0538,294.87,28,75,5.14,CA,1687125127
24,holmsund,63.706,20.3641,287.56,81,91,0.0,SE,1687125127
25,thompson,55.7435,-97.8558,298.24,41,75,2.06,CA,1687125127
26,port-aux-francais,-49.35,70.2167,278.69,97,100,11.56,TF,1687125128
27,antonio enes,-16.2325,39.9086,295.79,75,0,1.43,MZ,1687125128
28,lethbridge,49.7,-112.8186,292.21,30,40,10.8,CA,1687124903
29,hamilton,39.1834,-84.5333,302.71,42,0,4.12,US,1687124917
30,mount isa,-20.7333,139.5,286.02,35,70,1.54,AU,1687125128
31,pemangkat,1.1667,108.9667,299.35,82,77,1.35,ID,1687125129
32,georgetown,5.4112,100.3354,299.11,81,20,1.03,MY,1687125072
33,tabou,4.423,-7.3528,298.78,81,64,3.66,CI,1687125129
34,yanbu,24.0891,38.0637,308.17,41,0,6.17,SA,1687125129
35,calvinia,-31.4707,19.776,279.68,77,96,3.62,ZA,1687125130
36,arraial do cabo,-22.9661,-42.0278,294.07,73,20,4.63,BR,1687125130
